,State,School,Abbreviation,Type,Email,Size,Website,Address,Notes
1616,PA,Career Technology Center Of Lackawanna County,CTCLC,Community,,70,"=HYPERLINK(""https://www.ctclc.edu"",""LINK"")","3201 Rockwell Ave, Scranton, PA 18508",
1617,CO,Arapahoe Community College,ACC,Community,,12759,"=HYPERLINK(""https://www.arapahoe.edu"",""LINK"")","5900 S. Santa Fe Dr., Littleton, CO 80160",
1618,PA,Bidwell Training Center Inc,BTCI,Private,,164,"=HYPERLINK(""https://www.bidwelltraining.edu"",""LINK"")","1815 Metropolitan St, Pittsburgh, PA 15233",
1619,TX,South Plains College,SPC,Community,,9212,"=HYPERLINK(""https://www.southplainscollege.edu/"",""LINK"")","1401 S. College Ave, Levelland, TX 79336",
1620,TX,Arlington Baptist University,ABU,Private,,149,"=HYPERLINK(""https://www.abu.edu"",""LINK"")","3001 W Division, Arlington, TX 76012",
1621,WA,Saint Martin'S University,SMU,Private,,1629,"=HYPERLINK(""https://www.stmartin.edu"",""LINK"")","5000 Abbey Way Se, Lacey, WA 98503",
1622,IL,North Park University,NPU,Private,,2892,"=HYPERLINK(""https://www.northpark.edu"",""LINK"")","3225 W Foster Ave, Chicago, IL 60625",
1623,IL,Olivet Nazarene University,ONU,Private,,4317,"=HYPERLINK(""https://www.olivet.edu"",""LINK"")","One University Avenue, Bourbonnais, IL 60914",
1624,IN,Taylor University,TU,Private,,2173,"=HYPERLINK(""https://www.taylor.edu"",""LINK"")","236 W Reade Ave, Upland, IN 46989",
1625,PA,Manor College,MC,Private,,746,"=HYPERLINK(""https://www.manor.edu"",""LINK"")","700 Fox Chase Rd, Jenkintown, PA 19046",
1626,TX,Aviation Institute Of Maintenance-Houston,AIM,Public,,229,"=HYPERLINK(""https://www.aviationmaintenance.edu/campuses/houston-tx/index.html"",""LINK"")","7651 Airport Blvd., Houston, TX 77061",
1627,UT,Paul Mitchell The School-Provo,PMS,Public,,150,"=HYPERLINK(""https://www.paulmitchell.edu/provo"",""LINK"")","480 N 900 E, Provo, UT 84606",
1628,CA,California State Polytechnic University-Pomona,CSPU,Community,,28058,"=HYPERLINK(""https://www.cpp.edu"",""LINK"")","3801 West Temple Avenue, Pomona, CA 91768",
1629,CA,Cet-Salinas,C,Private,,144,"=HYPERLINK(""https://www.cetweb.edu"",""LINK"")","24 East Alvin Drive, Salinas, CA 93906",
1630,CA,Contra Costa College,CCC,Community,,7127,"=HYPERLINK(""https://www.contracosta.edu"",""LINK"")","2600 Mission Bell Dr, San Pablo, CA 94806",
1631,CA,Thomas Aquinas College,TAC,Private,,439,"=HYPERLINK(""https://www.thomasaquinas.edu"",""LINK"")","10,000 Ojai Road, Santa Paula, CA 93060",
1632,CO,University Of Colorado Boulder,UCB,Community,,37883,"=HYPERLINK(""https://www.colorado.edu"",""LINK"")","Regent Drive At Broadway, Boulder, CO 80309",
1633,CO,Collegeamerica-Denver,C,Private,,72,"=HYPERLINK(""https://www.collegeamerica.edu"",""LINK"")","1385 S Colorado Blvd., 5Th Floor, Denver, CO 80222",
1634,CA,Pasadena City College,PCC,Community,,26971,"=HYPERLINK(""https://www.pasadena.edu/"",""LINK"")","1570 E Colorado Blvd., Pasadena, CA 91106",
1635,IL,Eastern Illinois University,EIU,Community,,7806,"=HYPERLINK(""https://www.eiu.edu/"",""LINK"")","600 Lincoln Avenue, Charleston, IL 61920",
1636,CO,Northeastern Junior College,NJC,Community,,1390,"=HYPERLINK(""https://www.njc.edu"",""LINK"")","100 College Avenue, Sterling, CO 80751",
1637,CA,California State University-Northridge,CSU,Community,,39910,"=HYPERLINK(""https://www.csun.edu"",""LINK"")","18111 Nordhoff St, Northridge, CA 91330",
1638,CA,Golden West College,GWC,Community,,12025,"=HYPERLINK(""https://www.goldenwestcollege.edu"",""LINK"")","15744 Goldenwest St., Huntington Beach, CA 92647",
1639,IL,Bradley University,BU,Private,,5929,"=HYPERLINK(""https://www.bradley.edu"",""LINK"")","1501 W Bradley Ave, Peoria, IL 61625",
1640,VA,Norfolk State University,NSU,Community,,5601,"=HYPERLINK(""https://www.nsu.edu"",""LINK"")","700 Park Avenue, Norfolk, VA 23504",
1641,NY,Roberts Wesleyan College,RWC,Private,,1780,"=HYPERLINK(""https://www.roberts.edu"",""LINK"")","2301 Westside Dr, Rochester, NY 14624",
1642,MO,Clinton Technical School,CTS,Community,,17,"=HYPERLINK(""https://www.clintoncardinals.org"",""LINK"")","602 S. Fifth St., Clinton, MO 64735",
1643,NY,Genesee Valley Boces-Practical Nursing Program,GVBNP,Community,,121,"=HYPERLINK(""https://www.gvboces.org"",""LINK"")","Adult Education Office 8250 State St Rd, Batavia, NY 14020",
1644,VA,Henrico County-Saint Marys Hospital School Of Practical Nursing,HCMHSPN,Community,,96,"=HYPERLINK(""https://www.blogs.henrico.k12.va.us/adulteducation/licensed-practical-nursing/"",""LINK"")","7850 Carousel Lane, Henrico, VA 23294",
1645,MA,Branford Hall Career Institute-Springfield Campus,BHCIC,Public,,N/A,"=HYPERLINK(""https://www.branfordhall.edu"",""LINK"")","189 Brookdale Drive, Springfield, MA 1104",
1646,NJ,Pc Age-Metropark,PA,Public,,89,"=HYPERLINK(""https://www.pcage.edu"",""LINK"")","120 Wood Avenue South, Iselin, NJ 8830",
1647,NV,Pima Medical Institute-Las Vegas,PMIV,Public,,950,"=HYPERLINK(""https://www.pmi.edu"",""LINK"")","3333 East Flamingo Road, Las Vegas, NV 89121",
1648,CA,Five Branches University,FBU,Public,,353,"=HYPERLINK(""https://www.fivebranches.edu"",""LINK"")","200 7Th Avenue, Santa Cruz, CA 95062",
1649,CA,Elegance International,EI,Public,,N/A,"=HYPERLINK(""https://www.ei.edu/"",""LINK"")","6767 Sunset Blvd, Hollywood, CA 90028",
1650,FL,Cortiva Institute-Pompano,CI,Public,,70,"=HYPERLINK(""https://www.steinered.com"",""LINK"")","2001 W Sample Rd Ste 100, Pompano Beach, FL 33064",
1651,IN,Pj'S College Of Cosmetology-Richmond,PCC,Public,,74,"=HYPERLINK(""https://www.GOTOPJS.COM"",""LINK"")","50 Hayes Arboretum Road, Richmond, IN 47374",
1652,LA,Franciscan Missionaries Of Our Lady University,FMOLU,Private,,1294,"=HYPERLINK(""https://www.franu.edu"",""LINK"")","5414 Brittany Dr, Baton Rouge, LA 70808",
1653,MD,Blades School Of Hair Design,BSHD,Public,,90,"=HYPERLINK(""https://www.BladesSchool.com"",""LINK"")","22576-316 Macarthur Blvd, California, MD 20619",
1654,MI,Michigan Technological University,MTU,Community,,7027,"=HYPERLINK(""https://www.mtu.edu"",""LINK"")","1400 Townsend Drive, Houghton, MI 49931",
1655,MO,Lincoln University,LU,Community,,2436,"=HYPERLINK(""https://www.lincolnu.edu/"",""LINK"")","820 Chestnut Street, Jefferson City, MO 65101",
1656,MO,Missouri State University-West Plains,MSUP,Community,,1951,"=HYPERLINK(""https://www.wp.missouristate.edu"",""LINK"")","128 Garfield Avenue, West Plains, MO 65775",
1657,NC,Martin Community College,MCC,Community,,875,"=HYPERLINK(""https://www.martincc.edu"",""LINK"")","1161 Kehukee Pk Rd, Williamston, NC 27892",
1658,FL,Indian River State College,IRSC,Community,,16942,"=HYPERLINK(""https://www.irsc.edu"",""LINK"")","3209 Virginia Ave, Fort Pierce, FL 34981",
1659,NH,Keene State College,KSC,Community,,3502,"=HYPERLINK(""https://www.keene.edu"",""LINK"")","229 Main Street, Keene, NH 3435",
1660,NJ,Sussex County Community College,SCCC,Community,,2318,"=HYPERLINK(""https://www.sussex.edu"",""LINK"")","One College Hill Road, Newton, NJ 7860",
1661,NV,Academy Of Hair Design-Las Vegas,AHDV,Public,,203,"=HYPERLINK(""https://www.ahdvegas.com/"",""LINK"")","5191 W. Charleston, #150, Las Vegas, NV 89146",
1662,PA,Lansdale School Of Cosmetology Inc,LSCI,Public,,52,"=HYPERLINK(""https://www.lansdalecosmetology.com"",""LINK"")","215 W Main St, Lansdale, PA 19446",
1663,SD,The Salon Professional Academy,SPA,Public,,57,"=HYPERLINK(""https://www.bhbeautycollege.com"",""LINK"")","623 Saint Joseph Street, Rapid City, SD 57701",
1664,MO,Columbia College,CC,Private,,9913,"=HYPERLINK(""https://www.ccis.edu"",""LINK"")","1001 Rogers Street, Columbia, MO 65216",
1665,MI,Cleary University,CU,Private,,610,"=HYPERLINK(""https://www.cleary.edu"",""LINK"")","3750 Cleary Drive, Howell, MI 48843",
1666,NY,Niagara County Community College,NCCC,Community,,4997,"=HYPERLINK(""https://www.niagaracc.suny.edu"",""LINK"")","3111 Saunders Settlement Rd, Sanborn, NY 14132",
1667,MI,Madonna University,MU,Private,,2992,"=HYPERLINK(""https://www.madonna.edu"",""LINK"")","36600 Schoolcraft Rd, Livonia, MI 48150",
1668,KS,Midwest Barber College,MBC,Public,,15,"=HYPERLINK(""https://www.midwestbarbercollege.com"",""LINK"")","901 Sw. 37Th Street, Topeka, KS 66611",
1669,PR,Edp University Of Puerto Rico-Manati,EUPR,Private,,284,"=HYPERLINK(""https://www.edpuniversity.edu/"",""LINK"")","Mckinley Street #52, Manati, PR 674",
1670,TX,Michael'S Barber & Hair Stylist Academy,MBHSA,Public,,21,"=HYPERLINK(""https://www.barberstylistacademy.com"",""LINK"")","2413 West Airport Freeway, Irving, TX 75062",
1671,IL,Stautzenberger College-Rockford Career College,SCCC,Public,,472,"=HYPERLINK(""https://www.rockfordcareercollege.edu/"",""LINK"")","1130 South Alpine Road Suite 100, Rockford, IL 61108",
1672,OH,Great Lakes Truck Driving School,GLTDS,Public,,15,"=HYPERLINK(""https://www.greatlakestds.com/"",""LINK"")","27740 Royalton Road, Columbia Station, OH 44028",
1673,OR,Sumner College,SC,Public,,329,"=HYPERLINK(""https://www.sumnercollege.edu/"",""LINK"")","8338 Ne Alderwood Road Ste 100, Portland, OR 97220",
1674,LA,Digital Media Institute At Intertech,DMII,Private,,31,"=HYPERLINK(""https://www.dmi.edu"",""LINK"")","2031 Kings Highway, Shreveport, LA 71103",
1675,WI,University Of Wisconsin-Parkside Flex,UWF,Community,,70,"=HYPERLINK(""https://www.flex.wisconsin.edu"",""LINK"")","900 Wood Rd, Kenosha, WI 53141",
1676,TX,Strand Institute Of Beauty & Esthetics,SIBE,Public,,49,"=HYPERLINK(""https://www.thestrandinstitute.com"",""LINK"")","1018 Us Hwy 181, Portland, TX 78374",
1677,MD,Lincoln College Of Technology-Columbia,LCT,Public,,875,"=HYPERLINK(""https://www.lincolntech.edu/campus/columbia-md"",""LINK"")","9325 Snowden River Pky, Columbia, MD 21046",
1678,MA,Bay State College,BSC,Public,,609,"=HYPERLINK(""https://www.baystate.edu"",""LINK"")","31 St. James Avenue, Boston, MA 2116",
1679,MD,North American Trade Schools,NATS,Public,,551,"=HYPERLINK(""https://www.natradeschools.edu"",""LINK"")","6901 Security Blvd, Suite 16, Baltimore, MD 21244",
1680,NY,Transitions Career Institute School Of Nursing,TCISN,Public,,113,"=HYPERLINK(""https://www.tcilpn.org"",""LINK"")","30-50 Whitestone Expressway, Flushing, NY 11354",
1681,MO,College Of The Ozarks,CO,Private,,1546,"=HYPERLINK(""https://www.cofo.edu"",""LINK"")","100 Opportunity Avenue, Point Lookout, MO 65726",
1682,NY,Hilbert College,HC,Private,,766,"=HYPERLINK(""https://www.hilbert.edu"",""LINK"")","5200 S Park Ave, Hamburg, NY 14075",
1683,PA,Gratz College,GC,Private,,425,"=HYPERLINK(""https://www.gratz.edu/"",""LINK"")","7605 Old York Rd, Melrose Park, PA 19027",
1684,ND,Lynnes Welding Training-Bismarck,LWT,Public,,20,"=HYPERLINK(""https://www.learntoweld.com/"",""LINK"")","4329 Centurion Drive Unit 9, Bismarck, ND 58504",
1685,PR,Universidad Ana G. Mendez-Carolina Campus,UAGMC,Private,,9676,"=HYPERLINK(""https://www.une.suagm.edu/"",""LINK"")","Carr. # 190 Esq. Calle 220 Bo. Sabana Abajo, Carolina, PR 985",
1686,TN,Gould'S Academy,GA,Public,,126,"=HYPERLINK(""https://www.gouldsacademy.com/"",""LINK"")","8000 Us Highway 64, Bartlett, TN 38133",
1687,TX,The Art Institute Of Austin,AIA,Public,,385,"=HYPERLINK(""https://www.artinstitutes.edu/austin/"",""LINK"")","101 W. Louis Henna Blvd, Suite 100, Austin, TX 78728",
1688,CA,Claremont Lincoln University,CLU,Private,,254,"=HYPERLINK(""https://www.claremontlincoln.edu"",""LINK"")","250 West First Street Suite 330, Claremont, CA 91711",
1689,CA,Hoss Lee Academy,HLA,Public,,75,"=HYPERLINK(""https://www.hossleeacademy.com"",""LINK"")","200 Whyte Avenue, Roseville, CA 95661",
1690,WI,House Of Heavilin Beauty College-Academy Of Beauty Professionals,HHBCBP,Public,,30,"=HYPERLINK(""https://www.abpwi.com"",""LINK"")","6414 Odana Road, Madison, WI 53719",
1691,MD,Washington College,WC,Private,,1288,"=HYPERLINK(""https://www.washcoll.edu"",""LINK"")","300 Washington Ave, Chestertown, MD 21620",
1692,MN,White Earth Tribal And Community College,WETCC,Private,,121,"=HYPERLINK(""https://www.wetcc.edu"",""LINK"")","2250 College Road, Mahnomen, MN 56557",
1693,IL,National Louis University,NLU,Private,,7005,"=HYPERLINK(""https://www.nl.edu"",""LINK"")","122 S Michigan Ave, Chicago, IL 60603",
1694,UT,Cortiva Institute-Orem,CI,Public,,N/A,"=HYPERLINK(""https://www.steinered.com"",""LINK"")","141 North State Street, Orem, UT 84057",
1695,TX,Cortiva Institute-Houston,CI,Public,,N/A,"=HYPERLINK(""https://www.texasmassagetherapy.com"",""LINK"")","13163 Northwest Freeway Ste. A, Houston, TX 77040",
1696,MD,Coppin State University,CSU,Community,,2724,"=HYPERLINK(""https://www.coppin.edu"",""LINK"")","2500 West North Avenue, Baltimore, MD 21216",
1697,MD,"University Of Maryland, Baltimore",UMB,Community,,6827,"=HYPERLINK(""https://www.umaryland.edu"",""LINK"")","620 West Lexington St, Baltimore, MD 21201",
1698,NY,Cuny Bernard M Baruch College,CBMBC,Community,,18679,"=HYPERLINK(""https://www.baruch.cuny.edu"",""LINK"")","One Bernard Baruch Way (55 Lexington Ave At 24Th St), New York, NY 10010",
1699,VA,University Of Mary Washington,UMW,Community,,4488,"=HYPERLINK(""https://www.umw.edu"",""LINK"")","1301 College Ave, Fredericksburg, VA 22401",
1700,CT,Tunxis Community College,TCC,Community,,3781,"=HYPERLINK(""https://www.tunxis.edu"",""LINK"")","271 Scott Swamp Road, Farmington, CT 6032",
1701,ND,Dickinson State University,DSU,Community,,1350,"=HYPERLINK(""https://www.dickinsonstate.edu"",""LINK"")","291 Campus Drive, Dickinson, ND 58601",
1702,IL,National University Of Health Sciences,NUHS,Private,,590,"=HYPERLINK(""https://www.nuhs.edu"",""LINK"")","200 E Roosevelt Rd, Lombard, IL 60148",
1703,VA,Tidewater Tech-Trades,TT,Public,,420,"=HYPERLINK(""https://www.tidewatertechtrades.edu"",""LINK"")","5301 E Princess Anne Rd, Norfolk, VA 23502",
1704,FL,American Academy Of Cosmetology,AAC,Public,,143,"=HYPERLINK(""https://www.aacschool.com/"",""LINK"")","1330 Blanding Blvd Ste 125, Orange Park, FL 32065",
1705,NM,University Of New Mexico-Gallup Campus,UNMC,Community,,2487,"=HYPERLINK(""https://www.gallup.unm.edu"",""LINK"")","705 Gurley Ave., Gallup, NM 87301",
1706,WI,Concordia University-Wisconsin,CU,Private,,5777,"=HYPERLINK(""https://www.cuw.edu"",""LINK"")","12800 N Lake Shore Dr, Mequon, WI 53097",
1707,NY,Ace Institute Of Technology,AIT,Public,,247,"=HYPERLINK(""https://www.acecareer.edu"",""LINK"")","312 West 36 Street, 2Nd Floor, New York, NY 10018",
1708,MA,Urban College Of Boston,UCB,Private,,768,"=HYPERLINK(""https://www.urbancollege.edu"",""LINK"")","2 Boylston Street, 2Nd Floor, Boston, MA 2116",
1709,CT,Fairfield University,FU,Private,,5349,"=HYPERLINK(""https://www.fairfield.edu"",""LINK"")","1073 N Benson Rd, Fairfield, CT 6824",
1710,NY,Cuny City College,CCC,Community,,15816,"=HYPERLINK(""https://www.ccny.cuny.edu"",""LINK"")","160 Convent Ave, New York, NY 10031",
1711,OH,Ohio University-Southern Campus,OUC,Community,,2232,"=HYPERLINK(""https://www.southern.ohiou.edu/"",""LINK"")","1804 Liberty Ave, Ironton, OH 45638",
1712,LA,My Le'S Beauty College,MLBC,Public,,44,"=HYPERLINK(""https://www.mylebeautycollegellc.com/"",""LINK"")","601 Terry Parkway Ste. A, Gretna, LA 70056",
1713,NY,Finger Lakes School Of Massage,FLSM,Public,,N/A,"=HYPERLINK(""https://www.flsm.com"",""LINK"")","215 East State Street, Ithaca, NY 14850",
1714,PA,Pennsylvania State University-Penn State New Kensington,PSUSNK,Community,,N/A,"=HYPERLINK(""https://www.newkensington.psu.edu/"",""LINK"")","3550 Seventh Street Road, New Kensington, PA 15068",
1715,KS,Entourage Institute Of Beauty And Esthetics,EIBE,Public,,N/A,"=HYPERLINK(""https://www.entouragebeauty.com"",""LINK"")","12004 West 95Th Street, Lenexa, KS 66215",
1716,NV,Paul Mitchell The School-Las Vegas,PMSV,Public,,262,"=HYPERLINK(""https://www.paulmitchell.edu/lasvegas"",""LINK"")","9490 South Eastern Avenue, Suite 100, Las Vegas, NV 89123",
1717,NJ,Medical Career Institute,MCI,Public,,171,"=HYPERLINK(""https://www.mcinj.edu"",""LINK"")","901 West Park Avenue, Ocean, NJ 7712",
1718,MO,Moberly Area Community College,MACC,Community,,4849,"=HYPERLINK(""https://www.macc.edu"",""LINK"")","101 College Ave, Moberly, MO 65270",
1719,OH,Southern State Community College,SSCC,Community,,2399,"=HYPERLINK(""https://www.sscc.edu"",""LINK"")","100 Hobart Drive, Hillsboro, OH 45133",
1720,NV,Devry University-Nevada,DU,Public,,67,"=HYPERLINK(""https://www.devry.edu"",""LINK"")","2490 Paseo Verde Pkwy., Ste. 150, Henderson, NV 89074",
1721,LA,Blalock'S Professional Beauty College,BPBC,Public,,15,"=HYPERLINK(""https://www.blalockbeauty.com"",""LINK"")","8101 Kingston Rd Ste 103, Shreveport, LA 71108",
1722,NC,Sherrill'S University Of Barber & Cosmetology,SUBC,Public,,N/A,"=HYPERLINK(""https://www.sbcuniv.edu"",""LINK"")","3601 Bastion Ln, Raleigh, NC 27604",
1723,IL,Creative Touch Cosmetology School,CTCS,Public,,2,"=HYPERLINK(""https://www.creativetouchcollege.org"",""LINK"")","234 East 3Rd Street, Waterloo, IL 62298",
1724,TX,Yahweh Beauty Academy,YBA,Public,,34,"=HYPERLINK(""https://www.yahwehbeautyacademy.com"",""LINK"")","431 North 38Th Street, Killeen, TX 76543",
1725,FL,Hollywood Institute Of Beauty Careers-Casselberry,HIBC,Public,,307,"=HYPERLINK(""https://www.hi.edu"",""LINK"")","1271 Semoran Boulevard, Casselberry, FL 32707",
1726,CA,Borner'S Barber College,BBC,Public,,31,"=HYPERLINK(""https://www.bornersbarbercollege.com"",""LINK"")","8913 S Western Ave, Los Angeles, CA 90047",
1727,UT,Taylor Andrews Academy-St George,TAAG,Public,,141,"=HYPERLINK(""https://www.taylorandrewstgeorge.com"",""LINK"")","2214 E Riverside Drive, St. George, UT 84790",
1728,GA,Woodruff Medical Training And Testing,WMTT,Public,,5,"=HYPERLINK(""https://www.woodruffmedical.edu"",""LINK"")","675 E E. Butler Pkwy Ste K, Gainesville, GA 30501",
1729,MO,City Pointe Beauty Academy,CPBA,Public,,101,"=HYPERLINK(""https://www.citypointebeauty.com"",""LINK"")","501 South Madison Street, Webb City, MO 64870",
1730,GA,Devry University-Georgia,DU,Public,,1037,"=HYPERLINK(""https://www.devry.edu"",""LINK"")","1 West Court Square, Ste. 600, Decatur, GA 30030",
1731,TN,Baptist Memorial College Of Health Sciences,BMCHS,Private,,989,"=HYPERLINK(""https://www.bchs.edu"",""LINK"")","1003 Monroe Ave, Memphis, TN 38104",
1732,NC,Wingate University,WU,Private,,3681,"=HYPERLINK(""https://www.wingate.edu"",""LINK"")","301 E. Wilson Street, Wingate, NC 28174",
1733,MA,Framingham State University,FSU,Community,,5456,"=HYPERLINK(""https://www.framingham.edu/"",""LINK"")","100 State Street, Framingham, MA 1701",
1734,MN,Hennepin Technical College,HTC,Community,,4625,"=HYPERLINK(""https://www.hennepintech.edu"",""LINK"")","9000 Brooklyn Blvd, Brooklyn Park, MN 55445",
1735,TX,Western Technical College,WTC,Public,,547,"=HYPERLINK(""https://www.westerntech.edu"",""LINK"")","9451 Diana Drive, El Paso, TX 79924",
1736,OH,Franciscan University Of Steubenville,FUS,Private,,3039,"=HYPERLINK(""https://www.franciscan.edu"",""LINK"")","1235 University Blvd, Steubenville, OH 43952",
1737,NJ,Rutgers University-Newark,RU,Community,,13605,"=HYPERLINK(""https://www.newark.rutgers.edu/"",""LINK"")","249 University Avenue, Blumenthal Hall, Newark, NJ 7102",
1738,NC,Blue Ridge Community College,BRCC,Community,,2332,"=HYPERLINK(""https://www.blueridge.edu"",""LINK"")","180 West Campus Drive, Flat Rock, NC 28731",
1739,CA,The Chicago School Of Professional Psychology At Los Angeles,CSPPLA,Private,,2999,"=HYPERLINK(""https://www.thechicagoschool.edu/"",""LINK"")","617 W 7Th St, Los Angeles, CA 90017",
1740,CA,Paul Mitchell The School-Pasadena,PMS,Public,,237,"=HYPERLINK(""https://www.paulmitchell.edu/pasadena"",""LINK"")","825 E Green Street, Pasadena, CA 91101",
1741,CA,Carrington College-Pomona,CC,Public,,N/A,"=HYPERLINK(""https://www.carrington.edu/"",""LINK"")","901 Corporate Center Dr., Ste. 300, Pomona, CA 91768",
1742,DC,Institute Of World Politics,IWP,Private,,143,"=HYPERLINK(""https://www.iwp.edu/"",""LINK"")","1521 16Th St Nw, Washington, DC 20036",
1743,AK,Alaska Christian College,ACC,Private,,95,"=HYPERLINK(""https://www.alaskacc.edu"",""LINK"")","35109 Royal Place, Soldotna, AK 99669",
1744,NJ,Cortiva Institute-New Jersey,CIJ,Public,,N/A,"=HYPERLINK(""https://www.cortiva.com"",""LINK"")","1985 Highway 34 South, Wall, NJ 7719",
1745,TX,Angelina College,AC,Community,,4672,"=HYPERLINK(""https://www.angelina.edu"",""LINK"")","3500 South First, Lufkin, TX 75902",
1746,WA,Peninsula College,PC,Community,,1966,"=HYPERLINK(""https://www.pencol.edu"",""LINK"")","1502 E Lauridsen Blvd, Port Angeles, WA 98362",
1747,IL,Tricoci University Of Beauty Culture-Bridgeview,TUBC,Public,,252,"=HYPERLINK(""https://www.tricociuniversity.edu"",""LINK"")","7350 W 87Th St, Bridgeview, IL 60455",
1748,MO,Metro Business College-Jefferson City,MBCC,Public,,N/A,"=HYPERLINK(""https://www.metrobusinesscollege.edu"",""LINK"")","210 El Mercado Plaza, Jefferson City, MO 65109",
1749,MN,Hibbing Community College,HCC,Community,,1034,"=HYPERLINK(""https://www.hibbing.edu"",""LINK"")","1515 East 25Th Street, Hibbing, MN 55746",
1750,FL,Bene'S Career Academy,BCA,Public,,336,"=HYPERLINK(""https://www.benes.edu"",""LINK"")","7027 Us Hwy 19, New Port Richey, FL 34652",
1751,KS,North Central Kansas Technical College,NCKTC,Community,,913,"=HYPERLINK(""https://www.ncktc.edu"",""LINK"")","3033 Us Highway 24, Beloit, KS 67420",
1752,KY,Kentucky Community And Technical College System,KCTCS,Community,,N/A,"=HYPERLINK(""https://www.systemoffice.kctcs.edu"",""LINK"")","300 North Main Street, Versailles, KY 40383",
1753,MN,Aveda Institute-Minneapolis,AI,Public,,478,"=HYPERLINK(""https://www.aveda.edu/minneapolis"",""LINK"")","400 Central Ave Se, Minneapolis, MN 55414",
1754,NY,Rabbinical College Bobover Yeshiva Bnei Zion,RCBYBZ,Private,,403,"=HYPERLINK(""https://www.rabbinicalcollegeboboveryeshiva.edu"",""LINK"")","1577 48Th St, Brooklyn, NY 11219",
1755,NY,Rabbinical Seminary Of America,RSA,Private,,464,"=HYPERLINK(""https://www.NOT AVAILABLE"",""LINK"")","76-01 147Th St, Flushing, NY 11367",
1756,MA,Boston College,BC,Private,,14747,"=HYPERLINK(""https://www.bc.edu"",""LINK"")","140 Commonwealth Avenue, Chestnut Hill, MA 2467",
1757,TX,Baldwin Beauty School-South Austin,BBSA,Public,,52,"=HYPERLINK(""https://www.baldwinbeautyschools.com"",""LINK"")","3005 S Lamar, Austin, TX 78704",
1758,CA,North-West College-Glendale,NC,Public,,154,"=HYPERLINK(""https://www.nw.edu/"",""LINK"")","221 North Brand, Glendale, CA 91203",
1759,CA,Mt. Diablo Adult Education-Mt. Diablo Usd,MDAEDU,Community,,129,"=HYPERLINK(""https://www.mdae.mdusd.org/"",""LINK"")","Loma Vista Adult Center - 1266 San Carlos Avenue., Concord, CA 94518",
1760,AZ,Arizona State University-Tempe,ASU,Community,,53286,"=HYPERLINK(""https://www.asu.edu/"",""LINK"")","University Drive And Mill Avenue, Tempe, AZ 85287",
1761,CO,Aims Community College,ACC,Community,,6634,"=HYPERLINK(""https://www.aims.edu"",""LINK"")","5401 W. 20Th St., Greeley, CO 80634",
1762,AZ,Coconino Community College,CCC,Community,,3582,"=HYPERLINK(""https://www.coconino.edu/"",""LINK"")","2800 S. Lone Tree Rd., Flagstaff, AZ 86005",
1763,PA,Community College Of Philadelphia,CCP,Community,,15996,"=HYPERLINK(""https://www.ccp.edu"",""LINK"")","1700 Spring Garden St, Philadelphia, PA 19130",
1764,SC,Lander University,LU,Community,,3226,"=HYPERLINK(""https://www.lander.edu"",""LINK"")","320 Stanley Avenue, Greenwood, SC 29649",
1765,KS,Cloud County Community College,CCCC,Community,,1802,"=HYPERLINK(""https://www.cloud.edu"",""LINK"")","2221 Campus Dr, Concordia, KS 66901",
1766,SC,Spartanburg Methodist College,SMC,Private,,933,"=HYPERLINK(""https://www.smcsc.edu/"",""LINK"")","1000 Powell Mill Road, Spartanburg, SC 29301",
1767,NM,Northern New Mexico College,NNMC,Community,,1119,"=HYPERLINK(""https://www.nnmc.edu"",""LINK"")","921 Paseo De Onate, Espanola, NM 87532",
1768,TX,Neilson Beauty College,NBC,Public,,N/A,"=HYPERLINK(""https://www.neilsonbeautycollege.com"",""LINK"")","416 W Jefferson Blvd, Dallas, TX 75208",
1769,PA,Dickinson College,DC,Private,,2133,"=HYPERLINK(""https://www.dickinson.edu"",""LINK"")","College And Louther Streets, Carlisle, PA 17013",
1770,OK,Southwest Technology Center,STC,Community,,307,"=HYPERLINK(""https://www.swtech.edu"",""LINK"")","711 W. Tamarack, Altus, OK 73521",
1771,TN,Cleveland State Community College,CSCC,Community,,3370,"=HYPERLINK(""https://www.clevelandstatecc.edu"",""LINK"")","3535 Adkisson Drive, Cleveland, TN 37312",
1772,TN,Tennessee College Of Applied Technology-Mckenzie,TCAT,Community,,160,"=HYPERLINK(""https://www.tcatmckenzie.edu"",""LINK"")","16940 Highland Dr, Mckenzie, TN 38201",
1773,TN,Franklin Academy,FA,Private,,114,"=HYPERLINK(""https://www.franklinacademy.edu"",""LINK"")","1605 Professional Park Drive Nw, Cleveland, TN 37312",
1774,OK,Clary Sage College,CSC,Private,,329,"=HYPERLINK(""https://www.clarysagecollege.com"",""LINK"")","3131 South Sheridan, Tulsa, OK 74145",
1775,OH,Brown Aveda Institute-Strongsville,BAI,Public,,156,"=HYPERLINK(""https://www.brownaveda.com"",""LINK"")","17901 Southpark Center - Space 160, Strongsville, OH 44136",
1776,TX,Remington College-Houston Southeast Campus,RCSC,Private,,243,"=HYPERLINK(""https://www.remingtoncollege.edu/houston-career-schools-overview"",""LINK"")","20985 Interstate 45 South, Webster, TX 77598",
1777,GA,The Creative Circus,CC,Public,,227,"=HYPERLINK(""https://www.creativecircus.edu"",""LINK"")","812 Lambert Dr., Atlanta, GA 30324",
