,State,School,Abbreviation,Type,Email,Size,Website,Address,Notes
35,OH,Adult And Community Education-Hudson,ACE,Community,,93,"=HYPERLINK(""https://www.ccsoh.us/domain/197"",""LINK"")","2323 Lexington Avenue, Columbus, OH 43211",
36,NY,American Beauty School,ABS,Public,,150,"=HYPERLINK(""https://www.americanbeautyschool.edu"",""LINK"")","1380 Metropolitan Avenue, Bronx, NY 10462",
37,DC,Strayer University-District Of Columbia,SUC,Public,,815,"=HYPERLINK(""https://www.strayer.edu/district-columbia/washington"",""LINK"")","1133 15Th St Nw, Washington, DC 20005",
38,MS,William Carey University,WCU,Private,,5040,"=HYPERLINK(""https://www.wmcarey.edu"",""LINK"")","710 William Carey Parkway, Hattiesburg, MS 39401",
39,FL,Tulsa Welding School-Jacksonville,TWS,Public,,960,"=HYPERLINK(""https://www.weldingschool.com"",""LINK"")","3500 Southside Blvd, Jacksonville, FL 32216",
40,NY,United States Military Academy,USMA,Community,,4457,"=HYPERLINK(""https://www.westpoint.edu"",""LINK"")","646 Swift Rd (Attn: Masg), West Point, NY 10996",
41,NY,The Salon Professional Academy-Tonawanda,SPA,Public,,148,"=HYPERLINK(""https://www.tspabuffalo.com"",""LINK"")","2309 Eggert Rd, Tonawanda, NY 14150",
42,CT,Asnuntuck Community College,ACC,Community,,1600,"=HYPERLINK(""https://www.Asnuntuck.edu"",""LINK"")","170 Elm St, Enfield, CT 6082",
43,MI,Western Theological Seminary,WTS,Private,,322,"=HYPERLINK(""https://www.westernsem.edu"",""LINK"")","101 E 13Th St, Holland, MI 49423",
44,AZ,Cortiva Institute-Tempe,CI,Public,,N/A,"=HYPERLINK(""https://www.steinered.com/"",""LINK"")","1409 West Southern Avenue, Suite 6, Tempe, AZ 85282",
45,FL,University Of South Florida-Sarasota-Manatee,USF,Community,,2207,"=HYPERLINK(""https://www.usfsm.edu/"",""LINK"")","8350 N Tamiami Trail, Sarasota, FL 34243",
46,NE,University Of Nebraska Medical Center,UNMC,Community,,4055,"=HYPERLINK(""https://www.unmc.edu"",""LINK"")","42Nd & Dewey Ave, Omaha, NE 68198",
47,VA,The University Of Virginia'S College At Wise,UVCW,Community,,1978,"=HYPERLINK(""https://www.uvawise.edu/"",""LINK"")","1 College Avenue, Wise, VA 24293",
48,WY,Eastern Wyoming College,EWC,Community,,1538,"=HYPERLINK(""https://www.ewc.wy.edu"",""LINK"")","3200 West C St, Torrington, WY 82240",
49,DC,University Of The Potomac-Washington Dc Campus,UPDC,Public,,92,"=HYPERLINK(""https://www.potomac.edu"",""LINK"")","1401 H Street Nw, Washington, DC 20005",
50,MA,Williams College,WC,Private,,2150,"=HYPERLINK(""https://www.williams.edu"",""LINK"")","880 Main St, Williamstown, MA 1267",
51,ND,The Hair Academy,HA,Public,,42,"=HYPERLINK(""https://www.thehairacademynd.com"",""LINK"")","2101 East Broadway Avenue, Bismarck, ND 58501",
52,MT,The University Of Montana-Western,UM,Community,,1358,"=HYPERLINK(""https://www.w.umwestern.edu/"",""LINK"")","710 S Atlantic, Dillon, MT 59725",
53,MA,University Of Massachusetts-Boston,UM,Community,,15989,"=HYPERLINK(""https://www.umb.edu"",""LINK"")","100 Morrissey Boulevard, Boston, MA 2125",
54,NE,University Of Nebraska At Omaha,UNO,Community,,15153,"=HYPERLINK(""https://www.unomaha.edu"",""LINK"")","6001 Dodge St, Omaha, NE 68182",
55,NY,Union College,UC,Private,,2189,"=HYPERLINK(""https://www.union.edu/"",""LINK"")","807 Union Street, Schenectady, NY 12308",
56,PA,Venus Beauty Academy,VBA,Public,,89,"=HYPERLINK(""https://www.venusbeautyacademy.com"",""LINK"")","1033 Chester Pke, Sharon Hill, PA 19079",
57,PA,Triangle Tech Inc-Erie,TTI,Public,,N/A,"=HYPERLINK(""https://www.triangle-tech.edu"",""LINK"")","2000 Liberty Street, Erie, PA 16502",
58,FL,Strayer University-Florida,SU,Public,,2210,"=HYPERLINK(""https://www.strayer.edu/florida/tampa-westshore"",""LINK"")","5650 Breckenridge Park Drive Suite 300, Tampa, FL 33610",
